,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
52,SoulFastEBikes,SonicStomperSS,4895.0,72.0,1000.0,30.0,60.0,696.0
53,OHM,Discover,2899.0,49.4,250.0,60.0,120.0,508.2
54,CUBE,EllyCruiseHybrid400,2999.0,54.4,250.0,30.0,60.0,396.0
55,BULLS,E-STREAMEVOAM427.5+,6299.0,56.5,250.0,40.0,100.0,750.0
56,BPMImports,F-35X,1695.0,72.75,750.0,20.0,40.0,672.0
57,e-Joe,EpikCarbon,1399.0,58.8,500.0,25.0,55.0,504.0
58,Surface604,Colt,1999.0,57.2,500.0,25.0,60.0,499.2
59,Espin,Reine,1799.0,54.9,500.0,30.0,50.0,672.0
60,Espin,Reine,1799.0,54.9,500.0,30.0,50.0,672.0
61,FLX,BabyMaker,1999.0,33.2,250.0,10.0,35.0,252.0
62,BULLS,URBANEVO10,4699.0,54.6,350.0,40.0,100.0,626.4
63,Surface604,Shred,2090.0,57.3,500.0,20.0,45.0,499.2
64,Espin,Reine,2000.0,52.9,250.0,40.0,80.0,522.0
65,BULLS,WILDFLOWEVORS,5999.0,42.2,250.0,20.0,50.0,252.0
66,UrbanDrivestyle,UNIMoke,2990.0,80.0,500.0,18.0,40.0,696.0
67,EG,Kyoto350,1499.0,52.8,350.0,25.0,50.0,624.0
68,PEGASUS,PREMIOSPEED,3599.0,54.9,250.0,30.0,80.0,482.4
69,Magnum,Classic48,1599.0,57.1,500.0,25.0,55.0,624.0
70,Surface604,Rook,1999.0,56.8,500.0,25.0,60.0,499.2
71,Pedego,Conveyor,4995.0,55.4,250.0,25.0,45.0,468.0
72,Magnum,Mi6,1699.0,56.0,500.0,25.0,55.0,624.0
73,Giant,ExploreE+4GTS,2500.0,49.0,250.0,25.0,55.0,406.8
74,Haibike,XDUROALLMTN2.0,4699.0,51.7,250.0,40.0,120.0,489.6
75,BULLS,ALPINEHAWKEVO,5799.0,33.1,250.0,20.0,50.0,252.0
76,Nakto,SuperCruiser,1299.0,72.0,500.0,18.0,35.0,576.0
77,MODBIKES,Black,3490.0,59.8,350.0,30.0,70.0,556.8
78,BULLS,DESERTFALCONEVO,6299.0,41.5,250.0,30.0,80.0,482.4
79,Rattan,FatBearPlus,1499.0,59.2,500.0,40.0,60.0,499.0
80,PEGASUS,PREMIOCROSS,2799.0,52.5,250.0,37.0,118.0,482.4
81,Propella,3.07-Speed,1299.0,38.3,250.0,15.0,35.0,252.0
